epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7348,3.3713,9.44251,3.21191,0.35377,0.27848,0.24142,0.11595,3.29021,5.44374,3.0795,0.000300851,0.000300851,0.000300851
2,62.3606,3.22655,6.99262,2.96044,0.4232,0.42529,0.41811,0.22294,3.11077,3.87993,2.97802,0.000484289,0.000484289,0.000484289
3,91.0177,3.19158,5.58655,2.90107,0.58011,0.45661,0.50197,0.26615,3.06285,3.55156,2.92947,0.000547738,0.000547738,0.000547738
4,119.576,3.05005,4.66328,2.79238,0.58645,0.60287,0.63996,0.36333,2.9657,2.69475,2.86798,0.000369054,0.000369054,0.000369054
5,148.28,2.91347,4.01319,2.71932,0.68252,0.65004,0.71016,0.40998,2.92698,2.41626,2.8122,0.000189072,0.000189072,0.000189072
