epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2559,1.82222,3.53927,1.74015,0.33681,0.479,0.36936,0.17651,1.66927,2.25985,1.66385,0.000300851,0.000300851,0.000300851
2,52.7865,1.68681,2.44676,1.56732,0.56537,0.53661,0.54047,0.27737,1.61621,2.1854,1.6193,0.000484289,0.000484289,0.000484289
3,76.7161,1.64801,2.00413,1.52095,0.68946,0.64152,0.72491,0.38719,1.58007,1.62198,1.57558,0.000547738,0.000547738,0.000547738
4,99.342,1.55815,1.73093,1.46298,0.72144,0.70171,0.78178,0.43454,1.53318,1.39154,1.50264,0.000369054,0.000369054,0.000369054
5,123.989,1.48269,1.50772,1.4186,0.86803,0.81714,0.90224,0.53122,1.44539,1.02003,1.45075,0.000189072,0.000189072,0.000189072
